python -m models.reg_lstm --dataset R52 --mode static --batch-size 32 --lr 0.01 --epochs 30 --bidirectional --num-layers 1 --hidden-dim 512 --wdrop 0.1 --embed-droprate 0.2 --dropout 0.5 --beta-ema 0.99 --seed 3435 --no-cuda
Dataset: R52
No. of target classes: 52
No. of train instances 5879
No. of dev instances 2568
No. of test instances 2568
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
    13     1         1     1/184         1% 3.910797       9.3750
   175     1        11    11/184         6% 1.780373      44.0341
   335     1        21    21/184        11% 2.553081      48.5119
   447     1        31    31/184        17% 0.470822      51.4113
   696     1        41    41/184        22% 1.835600      51.7530
  1055     1        51    51/184        28% 2.010530      52.0833
  1400     1        61    61/184        33% 1.950627      53.1762
  1622     1        71    71/184        39% 1.666226      54.2694
  1837     1        81    81/184        44% 0.398101      55.9799
  2137     1        91    91/184        49% 0.794649      57.2459
  2351     1       101   101/184        55% 2.435971      58.2611
  2556     1       111   111/184        60% 0.989145      59.5721
  2684     1       121   121/184        66% 0.242179      61.1054
  2895     1       131   131/184        71% 1.276324      62.0468
  3085     1       141   141/184        77% 1.449186      62.7660
  3276     1       151   151/184        82% 1.383985      63.5555
  3707     1       161   161/184        88% 1.427034      64.0871
  3856     1       171   171/184        93% 0.062290      65.0558
  4219     1       181   181/184        98% 0.789885      65.9346

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  4995     1       184     1/30     0.7870   0.7870   0.7870       0.7870       0.9513

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  5082     2       191     7/184         4% 0.314515      89.7321
  5429     2       201    17/184         9% 0.576705      82.9044
  5567     2       211    27/184        15% 0.763340      80.5556
  5715     2       221    37/184        20% 0.979980      80.9966
  5886     2       231    47/184        26% 1.468310      80.5186
  6205     2       241    57/184        31% 1.472964      80.2632
  6444     2       251    67/184        36% 1.234154      79.3377
  6802     2       261    77/184        42% 0.497581      79.5049
  6876     2       271    87/184        47% 0.095128      79.7055
  6901     2       281    97/184        53% 0.133240      80.2513
  6951     2       291   107/184        58% 1.000253      79.6729
  6983     2       301   117/184        64% 0.477127      79.6474
  7031     2       311   127/184        69% 0.420653      79.6752
  7075     2       321   137/184        74% 1.019671      79.4708
  7102     2       331   147/184        80% 0.224899      79.9320
  7172     2       341   157/184        85% 0.510463      79.8604
  7199     2       351   167/184        91% 1.292513      80.2812
  7237     2       361   177/184        96% 0.763052      80.5482

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  7372     2       368     2/30     0.8738   0.8738   0.8738       0.8738       0.5862

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  7381     3       371     3/184         2% 0.795363      87.5000
  7418     3       381    13/184         7% 0.317497      83.1731
  7452     3       391    23/184        12% 0.436384      83.4239
  7484     3       401    33/184        18% 0.225789      83.2386
  7523     3       411    43/184        23% 0.440076      84.4477
  7557     3       421    53/184        29% 1.160718      84.0802
  7594     3       431    63/184        34% 0.466799      84.2758
  7655     3       441    73/184        40% 0.650956      83.8613
  7708     3       451    83/184        45% 0.337825      83.7726
  7745     3       461    93/184        51% 0.356979      84.4422
  7789     3       471   103/184        56% 0.267291      84.9818
  7838     3       481   113/184        61% 0.926472      84.5962
  7878     3       491   123/184        67% 0.967373      84.7561
  7954     3       501   133/184        72% 0.680707      84.3419
  8014     3       511   143/184        78% 0.437055      84.4318
  8040     3       521   153/184        83% 0.004844      84.8373
  8082     3       531   163/184        89% 0.252943      84.8473
  8116     3       541   173/184        94% 0.500641      84.8562
  8152     3       551   183/184        99% 0.323350      84.7272

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  8266     3       552     3/30     0.8945   0.8945   0.8945       0.8945       0.4448

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  8292     4       561     9/184         5% 0.206754      86.8056
  8336     4       571    19/184        10% 0.517869      86.3487
  8363     4       581    29/184        16% 0.001098      88.6853
  8403     4       591    39/184        21% 0.498025      87.8205
  8454     4       601    49/184        27% 0.487829      87.8827
  8488     4       611    59/184        32% 1.130043      87.6589
  8526     4       621    69/184        38% 0.634609      88.2699
  8557     4       631    79/184        43% 0.553662      88.2516
  8585     4       641    89/184        48% 0.385005      88.3076
  8673     4       651    99/184        54% 1.166487      87.7525
  8702     4       661   109/184        59% 0.140359      87.5287
  8748     4       671   119/184        65% 0.118075      87.2637
  8789     4       681   129/184        70% 0.956288      87.0155
  8829     4       691   139/184        76% 0.788876      86.8255
  8875     4       701   149/184        81% 0.944216      86.8918
  8928     4       711   159/184        86% 1.063126      86.9497
  8956     4       721   169/184        92% 0.344824      87.1117
  8984     4       731   179/184        97% 0.967558      87.3254

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  9138     4       736     4/30     0.9120   0.9120   0.9120       0.9120       0.3598

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  9158     5       741     5/184         3% 0.395828      91.2500
  9197     5       751    15/184         8% 0.078631      91.0417
  9235     5       761    25/184        14% 0.308083      90.3750
  9273     5       771    35/184        19% 0.277240      90.7143
  9323     5       781    45/184        24% 0.097563      90.4167
  9374     5       791    55/184        30% 0.181426      90.7955
  9395     5       801    65/184        35% 0.297236      90.6250
  9428     5       811    75/184        41% 0.259014      90.5417
  9470     5       821    85/184        46% 0.573368      90.0735
  9531     5       831    95/184        52% 0.604768      89.5066
  9558     5       841   105/184        57% 0.719083      89.6429
